username,ratings,text,email,phoneNumber
nneheshy,2,satisfactory poor excellent average wonderful terrible,nneheshy@gmail.com,+917122677020
ulnlrdwp,5,average average terrible average terrible,ulnlrdwp@gmail.com,+918962855049
dyfvkdln,1,amazing great terrible great satisfactory terrible excellent average amazing excellent wonderful,dyfvkdln@gmail.com,+918970939613
drfybtlt,2,wonderful wonderful wonderful amazing amazing,drfybtlt@gmail.com,+919189562103
bhexbfzm,2,amazing wonderful horrible terrible wonderful amazing wonderful amazing excellent,bhexbfzm@gmail.com,+918872697862
zcdsigrh,3,poor horrible average poor wonderful,zcdsigrh@gmail.com,+917007733480
hkcnkoye,1,great amazing terrible terrible poor horrible terrible,hkcnkoye@gmail.com,+916717349646
pokamhzh,1,great wonderful poor excellent wonderful,pokamhzh@gmail.com,+916914065164
ikolkikw,2,excellent great amazing amazing terrible amazing terrible satisfactory average terrible amazing,ikolkikw@gmail.com,+917665155703
tsxblzuo,1,terrible poor wonderful excellent amazing satisfactory horrible wonderful,tsxblzuo@gmail.com,+919664967832
mkjxmuyd,5,wonderful average great satisfactory horrible satisfactory,mkjxmuyd@gmail.com,+917954524339
pjozvpsb,1,terrible average average great great terrible excellent satisfactory great amazing poor,pjozvpsb@gmail.com,+917907091882
aqjjswmk,3,excellent great satisfactory terrible terrible great great horrible amazing great,aqjjswmk@gmail.com,+916843513031
itczkbhg,5,satisfactory horrible excellent horrible amazing average average amazing excellent,itczkbhg@gmail.com,+916389764794
djouvglq,1,satisfactory horrible satisfactory great satisfactory horrible terrible horrible excellent average great satisfactory wonderful,djouvglq@gmail.com,+916003997634
mgjrungp,3,wonderful average satisfactory great terrible wonderful great amazing amazing,mgjrungp@gmail.com,+917917602877
yehmkgza,4,average great horrible terrible amazing average excellent terrible terrible,yehmkgza@gmail.com,+917811598152
wxzdaxkq,2,great amazing terrible great great poor average poor horrible wonderful wonderful amazing,wxzdaxkq@gmail.com,+916095285771
dlbqluie,5,poor average wonderful horrible amazing average satisfactory great excellent excellent excellent wonderful average,dlbqluie@gmail.com,+919542833958
xslxitlz,2,terrible amazing terrible great terrible poor terrible amazing excellent,xslxitlz@gmail.com,+918334600396
kljpesxw,3,wonderful amazing amazing wonderful great poor terrible,kljpesxw@gmail.com,+919750544102
dpolmdcx,1,terrible amazing horrible great satisfactory great average terrible average amazing terrible horrible excellent great amazing,dpolmdcx@gmail.com,+917161559025
byridyon,2,amazing great wonderful wonderful great great terrible average excellent satisfactory terrible great satisfactory great average,byridyon@gmail.com,+918864420817
hndkskzg,1,horrible excellent terrible horrible average horrible great poor horrible amazing,hndkskzg@gmail.com,+916960303182
kkxuqdds,1,excellent amazing terrible terrible excellent average average wonderful terrible excellent average,kkxuqdds@gmail.com,+917566416355
ymxhfgyo,1,satisfactory horrible terrible satisfactory great horrible amazing,ymxhfgyo@gmail.com,+917981565327
msurraqu,1,amazing wonderful average average excellent wonderful terrible satisfactory wonderful satisfactory amazing,msurraqu@gmail.com,+917329615744
ezhlzhcb,4,great average terrible average poor poor,ezhlzhcb@gmail.com,+917680204204
usegthjp,3,terrible satisfactory amazing terrible terrible amazing,usegthjp@gmail.com,+917215246241
ernfzihd,3,poor amazing great wonderful great wonderful great excellent amazing wonderful excellent,ernfzihd@gmail.com,+918336279219
yjgoogxe,3,amazing satisfactory excellent poor terrible wonderful horrible terrible amazing,yjgoogxe@gmail.com,+917847753668
mhistaye,5,average satisfactory terrible amazing terrible great terrible satisfactory,mhistaye@gmail.com,+919301909835
vbpapccg,4,wonderful satisfactory excellent excellent wonderful horrible terrible great poor wonderful terrible terrible excellent average horrible,vbpapccg@gmail.com,+919028334826
svdzawje,2,great great wonderful average wonderful amazing satisfactory great terrible poor amazing,svdzawje@gmail.com,+918210004392
sqwabjsl,2,excellent terrible amazing horrible wonderful amazing terrible satisfactory great amazing average wonderful satisfactory terrible great,sqwabjsl@gmail.com,+918621301056
rizyyhcq,2,terrible satisfactory great average average,rizyyhcq@gmail.com,+917060729806
hgvombmu,3,great wonderful horrible great excellent,hgvombmu@gmail.com,+919315634732
seljwcby,4,satisfactory amazing satisfactory poor terrible satisfactory horrible amazing horrible great amazing,seljwcby@gmail.com,+917285222227
gnxjhzfr,4,excellent wonderful excellent satisfactory average amazing terrible horrible great amazing wonderful,gnxjhzfr@gmail.com,+919021574550
ecemvdpv,3,satisfactory amazing amazing average terrible poor,ecemvdpv@gmail.com,+919488854824
ddlkuoqj,1,poor wonderful horrible amazing great horrible satisfactory excellent horrible amazing,ddlkuoqj@gmail.com,+916186574072
vvqnvdpf,1,amazing amazing horrible great amazing wonderful,vvqnvdpf@gmail.com,+916813630412
mhzobliq,4,excellent excellent terrible excellent wonderful great amazing amazing excellent,mhzobliq@gmail.com,+919561102825
bzgufmuy,4,poor average amazing horrible satisfactory amazing horrible excellent great excellent excellent,bzgufmuy@gmail.com,+919081864582
wxqteurm,4,horrible horrible terrible great wonderful amazing excellent amazing satisfactory excellent poor satisfactory satisfactory excellent terrible,wxqteurm@gmail.com,+918618595317
fydcrvoj,4,amazing poor poor wonderful average horrible great poor satisfactory satisfactory poor great amazing satisfactory poor,fydcrvoj@gmail.com,+917509602561
emvvpgcz,1,average great wonderful excellent poor great terrible horrible terrible,emvvpgcz@gmail.com,+917753450711
lwqjetyg,1,horrible horrible average excellent horrible poor average horrible average excellent satisfactory,lwqjetyg@gmail.com,+918599625090
gkscxanl,2,terrible great horrible satisfactory excellent,gkscxanl@gmail.com,+917869155393
qcijdobr,1,terrible wonderful great excellent average great average poor,qcijdobr@gmail.com,+919545336635
vaaajyyb,4,horrible average terrible satisfactory horrible average horrible wonderful,vaaajyyb@gmail.com,+918678202059
cuetfgwd,2,terrible amazing poor excellent great satisfactory horrible excellent great horrible,cuetfgwd@gmail.com,+916417204135
ryrvzlgt,2,terrible horrible wonderful horrible average horrible average horrible great great average excellent poor great,ryrvzlgt@gmail.com,+919832670289
iintulmq,4,wonderful horrible great poor horrible great terrible,iintulmq@gmail.com,+919826952344
gbvdbpyn,2,amazing terrible great amazing terrible poor excellent wonderful poor poor amazing,gbvdbpyn@gmail.com,+919240953598
jymyrvuf,4,horrible wonderful terrible amazing horrible terrible average excellent poor poor excellent great horrible,jymyrvuf@gmail.com,+918025113673
ylvfdhgq,3,excellent poor excellent wonderful excellent horrible great satisfactory terrible horrible terrible,ylvfdhgq@gmail.com,+916711622797
wuenxifw,3,excellent horrible terrible excellent average wonderful,wuenxifw@gmail.com,+917356643489
woqqncil,5,poor poor satisfactory wonderful amazing poor terrible horrible satisfactory wonderful satisfactory wonderful terrible poor great,woqqncil@gmail.com,+917352073323
cdmcsluk,1,horrible wonderful great excellent terrible average amazing great horrible great great great,cdmcsluk@gmail.com,+917455926659
mlftgquh,1,average poor terrible amazing great poor satisfactory great amazing,mlftgquh@gmail.com,+917100461764
tcggepzr,4,wonderful poor satisfactory satisfactory average wonderful great horrible terrible amazing,tcggepzr@gmail.com,+916200735644
bnejhsew,4,satisfactory excellent satisfactory great amazing wonderful,bnejhsew@gmail.com,+918850804511
czziyjut,2,satisfactory satisfactory amazing poor wonderful,czziyjut@gmail.com,+917021042244
ndlxwlxg,3,poor great poor poor wonderful great great average terrible average poor,ndlxwlxg@gmail.com,+916102806565
kjgwsyya,4,satisfactory wonderful satisfactory satisfactory satisfactory terrible excellent excellent,kjgwsyya@gmail.com,+917915379004
qrtumcna,1,average satisfactory poor excellent horrible excellent great great great great,qrtumcna@gmail.com,+919750206888
pchlbdlb,3,average terrible horrible great excellent poor wonderful amazing satisfactory wonderful wonderful wonderful excellent satisfactory,pchlbdlb@gmail.com,+919721686863
ayvexxew,1,terrible great wonderful excellent amazing excellent wonderful excellent wonderful average,ayvexxew@gmail.com,+918679488629
sdwtlxjp,1,amazing wonderful satisfactory horrible poor satisfactory amazing terrible poor amazing average,sdwtlxjp@gmail.com,+919637121317
aczfqthn,5,horrible poor horrible amazing satisfactory satisfactory,aczfqthn@gmail.com,+919976738980
luenwxro,5,excellent great wonderful horrible poor average poor excellent excellent amazing poor horrible average poor,luenwxro@gmail.com,+916823431143
avmzvnsz,3,satisfactory satisfactory excellent excellent average wonderful poor satisfactory,avmzvnsz@gmail.com,+919471071581
wmzibzlv,5,poor average amazing great satisfactory horrible horrible wonderful poor poor wonderful wonderful satisfactory,wmzibzlv@gmail.com,+917941301472
klfjeukt,2,wonderful great horrible amazing average terrible satisfactory amazing,klfjeukt@gmail.com,+916621415388
lakkjbvo,4,wonderful horrible satisfactory excellent poor wonderful wonderful terrible terrible poor great,lakkjbvo@gmail.com,+919045515553
doxesinj,3,wonderful satisfactory excellent excellent satisfactory excellent horrible terrible wonderful wonderful,doxesinj@gmail.com,+916273584043
bpaurcyy,5,excellent satisfactory amazing poor excellent wonderful average great wonderful poor horrible,bpaurcyy@gmail.com,+917007207961
ebenkbsd,2,average horrible poor average excellent terrible wonderful terrible amazing excellent,ebenkbsd@gmail.com,+917204194141
ahoyfqtj,1,poor satisfactory excellent poor amazing great satisfactory average,ahoyfqtj@gmail.com,+919073970165
flvrghvv,3,terrible poor great poor poor excellent poor horrible satisfactory poor satisfactory horrible,flvrghvv@gmail.com,+918964677818
crxrrlhy,2,satisfactory amazing wonderful poor wonderful satisfactory,crxrrlhy@gmail.com,+919726190712
sqvlvatc,1,horrible poor satisfactory horrible excellent terrible horrible,sqvlvatc@gmail.com,+919050763669
uaxgwisk,1,amazing amazing satisfactory average wonderful amazing,uaxgwisk@gmail.com,+917148566537
zahxghnq,5,poor terrible satisfactory amazing great satisfactory poor amazing wonderful excellent wonderful satisfactory excellent excellent amazing,zahxghnq@gmail.com,+918635008586
hppzydad,4,wonderful wonderful poor horrible satisfactory satisfactory,hppzydad@gmail.com,+919176966893
gqijubdi,1,satisfactory great amazing great great horrible terrible amazing excellent satisfactory,gqijubdi@gmail.com,+917107003724
fwjgnjsr,5,excellent horrible excellent horrible poor horrible great,fwjgnjsr@gmail.com,+919640873119
dkombnvu,3,wonderful wonderful wonderful wonderful excellent great excellent wonderful great amazing satisfactory,dkombnvu@gmail.com,+917696842194
vlhmwlow,1,great amazing amazing amazing average excellent great amazing great great horrible great wonderful terrible,vlhmwlow@gmail.com,+916020405466
vcvwnrzx,4,satisfactory terrible excellent amazing terrible poor great average,vcvwnrzx@gmail.com,+917095685202
kahiqvko,3,satisfactory amazing great poor average great poor poor,kahiqvko@gmail.com,+919021907611
mhyqvnri,2,poor horrible poor great terrible excellent terrible excellent,mhyqvnri@gmail.com,+919534372412
xqqlhahj,4,satisfactory terrible excellent amazing terrible terrible average,xqqlhahj@gmail.com,+918109262447
epsmbyqp,4,terrible horrible poor poor terrible,epsmbyqp@gmail.com,+916435510794
mccgcprd,2,terrible poor great horrible terrible amazing great satisfactory satisfactory average,mccgcprd@gmail.com,+918532060482
kpmrccjy,3,average average horrible horrible great,kpmrccjy@gmail.com,+918631370374
xrpcdezz,5,great horrible terrible horrible amazing excellent excellent excellent horrible amazing amazing,xrpcdezz@gmail.com,+917379069021
hchfvsjl,1,amazing poor satisfactory great satisfactory,hchfvsjl@gmail.com,+916808422393
vvobinfm,5,great terrible great poor horrible excellent average terrible great terrible horrible great terrible terrible great,vvobinfm@gmail.com,+917449134548
woohcdry,2,excellent wonderful poor poor poor great horrible amazing amazing wonderful amazing great,woohcdry@gmail.com,+919537555447
kbivhqkw,1,satisfactory excellent average poor terrible great amazing satisfactory wonderful excellent average excellent,kbivhqkw@gmail.com,+916694754768
dtlvfvri,5,amazing excellent great wonderful horrible average average wonderful satisfactory wonderful,dtlvfvri@gmail.com,+919002928751
wxdxdopn,3,horrible average excellent excellent terrible great horrible terrible satisfactory average,wxdxdopn@gmail.com,+918273516724
qowazqqs,3,excellent wonderful horrible great excellent satisfactory excellent horrible average amazing amazing amazing poor excellent,qowazqqs@gmail.com,+916396296016
ijtpyncz,1,horrible poor wonderful poor horrible wonderful,ijtpyncz@gmail.com,+917799140438
ggzgmsod,2,average average terrible great amazing amazing great amazing excellent amazing excellent poor great average,ggzgmsod@gmail.com,+918368040628
wlosbjla,4,average great great average horrible poor average wonderful excellent great excellent poor,wlosbjla@gmail.com,+918216030274
nfndpxqt,4,terrible average great satisfactory horrible terrible,nfndpxqt@gmail.com,+918341453229
yokrdeet,3,poor great excellent average excellent wonderful amazing satisfactory satisfactory terrible,yokrdeet@gmail.com,+919943431754
lumtdfyy,3,amazing terrible great excellent wonderful satisfactory great amazing wonderful amazing terrible average average poor,lumtdfyy@gmail.com,+919091648178
gmwvckfd,3,satisfactory poor horrible horrible horrible terrible great wonderful satisfactory excellent satisfactory terrible satisfactory,gmwvckfd@gmail.com,+919651748087
lvawhsky,3,wonderful average average excellent amazing excellent,lvawhsky@gmail.com,+919299345960
ygofcuoj,1,excellent great average average average average terrible amazing wonderful poor,ygofcuoj@gmail.com,+918936557314
lxpvqwux,2,wonderful poor amazing wonderful poor excellent average terrible amazing great wonderful satisfactory terrible,lxpvqwux@gmail.com,+918506061467
cqamizcf,3,wonderful poor wonderful excellent horrible average wonderful poor great great horrible great amazing great amazing,cqamizcf@gmail.com,+918911872057
nhiwbyfe,1,satisfactory terrible poor great horrible satisfactory amazing great terrible amazing wonderful average,nhiwbyfe@gmail.com,+916713348080
kdwsxjsw,1,excellent satisfactory average great average horrible great horrible great wonderful horrible great,kdwsxjsw@gmail.com,+916627837128
lxshujjo,5,average horrible horrible average great average amazing horrible terrible horrible wonderful horrible excellent average satisfactory,lxshujjo@gmail.com,+919670563463
lrdzjpmk,3,terrible great terrible average terrible satisfactory,lrdzjpmk@gmail.com,+917140218392
gcadlslo,1,terrible wonderful average horrible horrible horrible amazing satisfactory horrible great,gcadlslo@gmail.com,+916591413104
soiqpmug,4,horrible great horrible great terrible excellent satisfactory great wonderful horrible poor,soiqpmug@gmail.com,+918754946205
icjpgnax,1,terrible satisfactory poor horrible satisfactory horrible average excellent excellent amazing poor,icjpgnax@gmail.com,+916395098119
